Row Labels,Sum of usa_gross_profit,Sum of usa_gross_income,Sum of budget,Sum of avg_vote
Supernova,-75769545,14230455,90000000,4.9
2001,1557339917,7633289917,6075950000,905.1
The Lord of the Rings: The Fellowship of the Ring,222544750,315544750,93000000,8.8
Shrek,207665011,267665011,60000000,7.8
Harry Potter and the Sorcerer's Stone,193087620,318087620,125000000,7.6
"Monsters, Inc.",174916256,289916256,115000000,8
Rush Hour 2,136164286,226164286,90000000,6.6
American Pie 2,115103595,145103595,30000000,6.4
A Beautiful Mind,112742341,170742341,58000000,8.2
The Fast and the Furious,106533925,144533925,38000000,6.8
The Mummy Returns,104019785,202019785,98000000,6.3
Ocean's Eleven,98417150,183417150,85000000,7.7
Jurassic Park III,88171875,181171875,93000000,5.9
The Princess Diaries,82248956,108248956,26000000,6.3
Planet of the Apes,80011740,180011740,100000000,5.7
The Others,79522687,96522687,17000000,7.6
Legally Blonde,78520674,96520674,18000000,6.3
Hannibal,78092268,165092268,87000000,6.8
Save the Last Dance,78057006,91057006,13000000,6.2
Spy Kids,77719001,112719001,35000000,5.5
Pearl Harbor,58542554,198542554,140000000,6.2
Jimmy Neutron: Boy Genius,50936232,80936232,30000000,6
America's Sweethearts,47607673,93607673,46000000,5.7
Bridget Jones's Diary,46543427,71543427,25000000,6.7
Dr. Dolittle 2,42952899,112952899,70000000,4.7
In the Bedroom,34230604,35930604,1700000,7.4
Cats & Dogs,33385515,93385515,60000000,5.1
Vanilla Sky,32618344,100618344,68000000,6.9
Training Day,31631907,76631907,45000000,7.7
The Royal Tenenbaums,31364010,52364010,21000000,7.6
Shallow Hal,30839203,70839203,40000000,5.9
Jeepers Creepers,27904175,37904175,10000000,6.2
Monster's Ball,27273922,31273922,4000000,7
Scary Movie 2,26308997,71308997,45000000,5.3
The Wedding Planner,25400856,60400856,35000000,5.3
Not Another Teen Movie,23252284,38252284,15000000,5.7
Serendipity,22294317,50294317,28000000,6.9
Gosford Park,21508615,41308615,19800000,7.2
Behind Enemy Lines,18856790,58856790,40000000,6.4
I Am Sam,18311852,40311852,22000000,7.7
Zoolander,17172250,45172250,28000000,6.5
Black Hawk Down,16638745,108638745,92000000,7.7
Lara Croft: Tomb Raider,16168070,131168070,115000000,5.8
Super Troopers,15492362,18492362,3000000,7.1
Down to Earth,15186502,64186502,49000000,5.5
Along Came a Spider,14078174,74078174,60000000,6.4
Corky Romano,12980304,23980304,11000000,4.7
Baby Boy,12734552,28734552,16000000,6.4
Kiss of the Dragon,11845124,36845124,25000000,6.6
How High,11178740,31178740,20000000,6.3
O,11025437,16025437,5000000,6.1
The Animal,10743062,57743062,47000000,4.8
The Mexican,9845033,66845033,57000000,6.1
Joe Dirt,9387695,27087695,17700000,6
Rat Race,8618055,56618055,48000000,6.4
Hard Ball,8222729,40222729,32000000,6.4
Jay and Silent Bob Strike Back,8085147,30085147,22000000,6.8
Moulin Rouge!,7386607,57386607,50000000,7.6
Kissing Jessica Stein,6025722,7025722,1000000,6.4
The Deep End,5823109,8823109,3000000,6.5
Heartbreakers,5336607,40336607,35000000,6.2
Don't Say a Word,5001642,55001642,50000000,6.3
Crocodile Dundee in Los Angeles,4485682,25635682,21150000,4.8
Someone Like You...,4343067,27343067,23000000,6.1
Crazy/Beautiful,3937988,16937988,13000000,6.5
The Score,3107711,71107711,68000000,6.8
Tomcats,2558739,13558739,11000000,5.4
Jason X,2121555,13121555,11000000,4.4
Frailty,2110448,13110448,11000000,7.2
Exit Wounds,1758599,51758599,50000000,5.6
Tape,390475,490475,100000,7.3
