ID,ID,Budget,Popularity,Release Date,Revenue,Runtime,Vote Average,Vote Count,IMDB
82,16,12800000,21.097,2000-06-30,40031879,141,7.889,1530,tt0168629
83,14195,10000000,9.716,2000-05-17,0,87,6.4,209,tt0173716
84,327,12000000,18.342,2000-12-13,15250000,114,7.145,361,tt0222851
85,10480,24000000,10.187,2000-08-30,0,108,5.943,336,tt0171580
86,10687,10000000,14.159,2000-10-06,148701,101,6.617,477,tt0170691
87,10763,23000000,12.926,2000-09-13,22844291,121,4.858,286,tt0205271
88,1831,25000000,12.582,2000-03-03,24362772,108,5.2,165,tt0156841
89,1636,48000000,44.13,2000-10-19,90383208,93,6.03,1607,tt0230030
90,1907,40000000,20.026,2000-02-03,144056873,119,6.462,3878,tt0163978
91,28333,0,10.166,1961-06-21,0,95,6.365,96,tt0055069
92,11688,100000000,101.067,2000-12-15,169327687,78,7.548,5853,tt0120917
93,20697,24000000,11.838,2000-04-07,12372410,107,5.2,132,tt0217756
94,10560,29000000,11.26,2000-05-12,26385941,115,6.944,297,tt0210616
95,12211,25000000,18.714,2000-09-01,15843608,87,4.84,338,tt0144964
96,10571,16000000,15.872,2000-06-16,20627372,94,5.967,352,tt0204175
97,10481,85000000,15.554,2000-11-21,183611771,100,5.471,1202,tt0211181
98,2155,42000000,18.194,2000-02-25,32168970,124,5.637,544,tt0184858
99,18041,14000000,10.315,2000-04-21,5108820,90,5.8,192,tt0176783
100,10577,28000000,18.99,2000-12-22,47053625,99,5.174,559,tt0219653
101,25166,6000000,11.885,2000-03-03,15427192,96,5.6,141,tt0186045
102,9383,95000000,29.797,2000-08-04,190213455,112,5.911,2199,tt0164052
103,19457,0,15.658,2000-04-27,0,115,6.193,363,tt0138946
104,10385,60000000,12.967,2000-02-16,51880044,94,5.2,147,tt0162983
105,10562,25000000,12.337,2000-09-24,1308242,110,6.108,388,tt0164212
106,10641,65000000,15.084,2000-08-11,0,103,6.088,605,tt0174480
107,786,60000000,22.011,2000-09-15,47386287,122,7.484,2329,tt0181875
108,493529,151000000,217.779,2023-03-29,0,134,0.0,0,tt2906216
