Row Labels,Sum of usa_gross_profit,Sum of usa_gross_income,Sum of budget,Sum of avg_vote,Year,Row Labels,
Vanity Fair,-6863524,16136476,23000000,6.2,2004,Vanity Fair,
I Heart Huckabees,-7214568,12785432,20000000,6.6,2004,I Heart Huckabees,
EuroTrip,-7228613,17771387,25000000,6.6,2004,EuroTrip,
The Aviator,-7389670,102610330,110000000,7.5,2004,The Aviator,
Ella Enchanted,-8081613,22918387,31000000,6.3,2004,Ella Enchanted,
Mr 3000,-8188813,21811187,30000000,5.5,2004,Mr 3000,
Jersey Girl,-9731843,25268157,35000000,6.2,2004,Jersey Girl,
Being Julia,-10260951,7739049,18000000,7,2004,Being Julia,
The Girl Next Door,-10410556,14589444,25000000,6.7,2004,The Girl Next Door,
Godsend,-10620249,14379751,25000000,4.8,2004,Godsend,
Superbabies: Baby Geniuses 2,-10780612,9219388,20000000,1.9,2004,Superbabies: Baby Geniuses 2,
Chasing Liberty,-10804374,12195626,23000000,6.1,2004,Chasing Liberty,
Dirty Dancing: Havana Nights,-10838410,14161590,25000000,6,2004,Dirty Dancing: Havana Nights,
Taking Lives,-12317658,32682342,45000000,6.3,2004,Taking Lives,
Raising Helen,-12513488,37486512,50000000,6,2004,Raising Helen,
Blade: Trinity,-12588094,52411906,65000000,5.9,2004,Blade: Trinity,
A Dirty Shame,-13660332,1339668,15000000,5.1,2004,A Dirty Shame,
Wimbledon,-13998867,17001133,31000000,6.3,2004,Wimbledon,
The Manchurian Candidate,-14044370,65955630,80000000,6.6,2004,The Manchurian Candidate,
Little Black Book,-14301332,20698668,35000000,5.3,2004,Little Black Book,
Spartan,-14815568,4434432,19250000,6.5,2004,Spartan,
Birth,-14904962,5095038,20000000,6.1,2004,Birth,
Welcome to Mooseport,-15529053,14470947,30000000,5.2,2004,Welcome to Mooseport,
New York Minute,-15928559,14071441,30000000,5,2004,New York Minute,
Beyond the Sea,-16681291,6318709,23000000,6.7,2004,Beyond the Sea,
Wicker Park,-16998743,13001257,30000000,7,2004,Wicker Park,
Suspect Zero,-18274187,8725813,27000000,5.8,2004,Suspect Zero,
Torque,-18784941,21215059,40000000,4.1,2004,Torque,
First Daughter,-20944079,9055921,30000000,5.1,2004,First Daughter,
A Series of Unfortunate Events,-21365451,118634549,140000000,6.8,2004,A Series of Unfortunate Events,
Mindhunters,-22519256,4480744,27000000,6.4,2004,Mindhunters,
The Whole Ten Yards,-23671529,16328471,40000000,5.5,2004,The Whole Ten Yards,
Flight of the Phoenix,-23990820,21009180,45000000,6.1,2004,Flight of the Phoenix,
Twisted,-24801402,25198598,50000000,5.3,2004,Twisted,
The Life Aquatic with Steve Zissou,-25979597,24020403,50000000,7.3,2004,The Life Aquatic with Steve Zissou,
The Merchant of Venice,-26234415,3765585,30000000,7,2004,The Merchant of Venice,
Envy,-26437675,13562325,40000000,4.8,2004,Envy,
The Perfect Score,-29608997,10391003,40000000,5.7,2004,The Perfect Score,
The Stepford Wives,-30515258,59484742,90000000,5.3,2004,The Stepford Wives,
After the Sunset,-31668767,28331233,60000000,6.3,2004,After the Sunset,
Sky Captain and the World of Tomorrow,-32237323,37762677,70000000,6,2004,Sky Captain and the World of Tomorrow,
Hidalgo,-32696550,67303450,100000000,6.7,2004,Hidalgo,
Surviving Christmas,-33336844,11663156,45000000,5.4,2004,Surviving Christmas,
Spanglish,-37273131,42726869,80000000,6.4,2004,Spanglish,
Exorcist: The Beginning,-38178014,41821986,80000000,5.2,2004,Exorcist: The Beginning,
Van Helsing,-39822916,120177084,160000000,6.1,2004,Van Helsing,
Troy,-41621744,133378256,175000000,7.2,2004,Troy,
The Big Bounce,-43510524,6489476,50000000,4.9,2004,The Big Bounce,
Alfie,-46600188,13399812,60000000,6.2,2004,Alfie,
The Chronicles of Riddick,-47238988,57761012,105000000,6.7,2004,The Chronicles of Riddick,
Thunderbirds,-50119083,6880917,57000000,4.3,2004,Thunderbirds,
Catwoman,-59797621,40202379,100000000,3.4,2004,Catwoman,
Home on the Range,-59969539,50030461,110000000,5.4,2004,Home on the Range,
King Arthur,-68117756,51882244,120000000,6.3,2004,King Arthur,
The Alamo,-84585039,22414961,107000000,6,2004,The Alamo,
Around the World in 80 Days,-85991863,24008137,110000000,5.9,2004,Around the World in 80 Days,
Alexander,-120702809,34297191,155000000,5.6,2004,Alexander,
Star Wars: Episode III - Revenge of the Sith,267270577,380270577,113000000,7.5,2005,Star Wars: Episode III - Revenge of the Sith,
Wedding Crashers,169255921,209255921,40000000,6.9,2005,Wedding Crashers,
Harry Potter and the Goblet of Fire,140417905,290417905,150000000,7.7,2005,Harry Potter and the Goblet of Fire,
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",111710957,291710957,180000000,6.9,2005,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",
Hitch,109495555,179495555,70000000,6.6,2005,Hitch,
War of the Worlds,102280354,234280354,132000000,6.5,2005,War of the Worlds,
Walk the Line,91519402,119519402,28000000,7.8,2005,Walk the Line,
The 40 Year Old Virgin,83449237,109449237,26000000,7.1,2005,The 40 Year Old Virgin,
Saw II,83039965,87039965,4000000,6.6,2005,Saw II,
Mr. & Mrs. Smith,76336279,186336279,110000000,6.5,2005,Mr. & Mrs. Smith,
The Longest Yard,76119460,158119460,82000000,6.4,2005,The Longest Yard,
Brokeback Mountain,69043761,83043761,14000000,7.7,2005,Brokeback Mountain,
The Pacifier,57086868,113086868,56000000,5.6,2005,The Pacifier,
Batman Begins,56852432,206852432,150000000,8.2,2005,Batman Begins,
Charlie and the Chocolate Factory,56459076,206459076,150000000,6.6,2005,Charlie and the Chocolate Factory,
The Exorcism of Emily Rose,56072454,75072454,19000000,6.7,2005,The Exorcism of Emily Rose,
Fantastic Four,54696080,154696080,100000000,5.7,2005,Fantastic Four,
Robots,53200012,128200012,75000000,6.3,2005,Robots,
Are We There Yet?,50674398,82674398,32000000,4.7,2005,Are We There Yet?,
White Noise,46386759,56386759,10000000,5.5,2005,White Noise,
The Amityville Horror,46233369,65233369,19000000,6,2005,The Amityville Horror,
Diary of a Mad Black Woman,45133099,50633099,5500000,5.8,2005,Diary of a Mad Black Woman,
Hostel,42526473,47326473,4800000,5.9,2005,Hostel,
The Family Stone,42062868,60062868,18000000,6.3,2005,The Family Stone,
Monster-in-Law,39931301,82931301,43000000,5.6,2005,Monster-in-Law,
Coach Carter,37264877,67264877,30000000,7.3,2005,Coach Carter,
Flightplan,34707299,89707299,55000000,6.3,2005,Flightplan,
Sin City,34103820,74103820,40000000,8,2005,Sin City,
Guess Who,33915888,68915888,35000000,5.9,2005,Guess Who,
Red Eye,31891803,57891803,26000000,6.4,2005,Red Eye,
Hoodwinked!,31530390,61530390,30000000,6.4,2005,Hoodwinked!,
The Dukes of Hazzard,30270227,80270227,50000000,5.1,2005,The Dukes of Hazzard,
Four Brothers,29494381,74494381,45000000,6.8,2005,Four Brothers,
Sky High,28946815,63946815,35000000,6.2,2005,Sky High,
Boogeyman,26752382,46752382,20000000,4.2,2005,Boogeyman,
The Ring Two,26231249,76231249,50000000,5.4,2005,The Ring Two,
The Curse of the Were-Rabbit,26110897,56110897,30000000,7.4,2005,The Curse of the Were-Rabbit,
"Good Night, and Good Luck.",24558003,31558003,7000000,7.4,2005,"Good Night, and Good Luck.",
Cheaper by the Dozen 2,22571173,82571173,60000000,5.5,2005,Cheaper by the Dozen 2,
Nanny McPhee,22144110,47144110,25000000,6.5,2005,Nanny McPhee,
Capote,21750530,28750530,7000000,7.3,2005,Capote,
Hide and Seek,21100486,51100486,30000000,6,2005,Hide and Seek,
Racing Stripes,19772522,49772522,30000000,5.2,2005,Racing Stripes,
Hustle & Flow,19402809,22202809,2800000,7.3,2005,Hustle & Flow,
Because of Winn-Dixie,18647042,32647042,14000000,6.3,2005,Because of Winn-Dixie,
Thank You for Smoking,18293509,24793509,6500000,7.6,2005,Thank You for Smoking,
The Wedding Date,16726995,31726995,15000000,6.2,2005,The Wedding Date,
V for Vendetta,16511035,70511035,54000000,8.2,2005,V for Vendetta,
Herbie Fully Loaded,16023816,66023816,50000000,4.8,2005,Herbie Fully Loaded,
The Sisterhood of the Traveling Pants,14053061,39053061,25000000,6.5,2005,The Sisterhood of the Traveling Pants,
Derailed,14024076,36024076,22000000,6.6,2005,Derailed,
Must Love Dogs,13894863,43894863,30000000,5.9,2005,Must Love Dogs,
Corpse Bride,13359111,53359111,40000000,7.3,2005,Corpse Bride,
Waiting...,13124543,16124543,3000000,6.8,2005,Waiting...,
Fever Pitch,12071069,42071069,30000000,6.2,2005,Fever Pitch,
The Fog,11550869,29550869,18000000,3.7,2005,The Fog,
Transporter 2,11095856,43095856,32000000,6.3,2005,Transporter 2,
King Kong,11080025,218080025,207000000,7.2,2005,King Kong,
Pride & Prejudice,10405088,38405088,28000000,7.8,2005,Pride & Prejudice,
Fun with Dick and Jane,10332737,110332737,100000000,6.2,2005,Fun with Dick and Jane,
The Devil's Rejects,10044981,17044981,7000000,6.8,2005,The Devil's Rejects,
Cry Wolf,9047674,10047674,1000000,5.8,2005,Cry Wolf,
The Constant Gardener,8579797,33579797,25000000,7.4,2005,The Constant Gardener,
"Yours, Mine & Ours",8412862,53412862,45000000,5.5,2005,"Yours, Mine & Ours",
Match Point,8151529,23151529,15000000,7.6,2005,Match Point,
Transamerica,8015303,9015303,1000000,7.4,2005,Transamerica,
Kicking & Screaming,7842724,52842724,45000000,5.6,2005,Kicking & Screaming,
The Upside of Anger,6761993,18761993,12000000,6.8,2005,The Upside of Anger,
The Perfect Man,6535005,16535005,10000000,5.5,2005,The Perfect Man,
The Squid and the Whale,5872734,7372734,1500000,7.3,2005,The Squid and the Whale,
Land of the Dead,5700082,20700082,15000000,6.2,2005,Land of the Dead,
The Skeleton Key,4907715,47907715,43000000,6.5,2005,The Skeleton Key,
Broken Flowers,3744960,13744960,10000000,7.2,2005,Broken Flowers,
Miss Congeniality 2: Armed & Fabulous,3478006,48478006,45000000,5.1,2005,Miss Congeniality 2: Armed & Fabulous,
Be Cool,3046979,56046979,53000000,5.6,2005,Be Cool,
An American Haunting,2298046,16298046,14000000,5.1,2005,An American Haunting,
Me and You and Everyone We Know,1885134,3885134,2000000,7.3,2005,Me and You and Everyone We Know,
Junebug,1678691,2678691,1000000,6.9,2005,Junebug,
Brick,1600743,2075743,475000,7.3,2005,Brick,
Keeping Mum,1450466,1619466,169000,6.8,2005,Keeping Mum,
Harsh Times,1337931,3337931,2000000,6.9,2005,Harsh Times,
The Hitchhiker's Guide to the Galaxy,1085416,51085416,50000000,6.8,2005,The Hitchhiker's Guide to the Galaxy,
Prime,827153,22827153,22000000,6.2,2005,Prime,
Syriana,824620,50824620,50000000,6.9,2005,Syriana,
Dreamer: Inspired by a True Story,751093,32751093,32000000,6.8,2005,Dreamer: Inspired by a True Story,
Deuce Bigalow: European Gigolo,400154,22400154,22000000,4.7,2005,Deuce Bigalow: European Gigolo,
The Matador,94698,12594698,12500000,6.7,2005,The Matador,
Hard Candy,74640,1024640,950000,7.1,2005,Hard Candy,
Conversations with Other Women,-70582,379418,450000,7,2005,Conversations with Other Women,
Factotum,-191779,808221,1000000,6.6,2005,Factotum,
A History of Violence,-495367,31504633,32000000,7.4,2005,A History of Violence,
The Quiet,-518580,381420,900000,6.2,2005,The Quiet,
The Ballad of Jack and Rose,-787725,712275,1500000,6.6,2005,The Ballad of Jack and Rose,
Bad News Bears,-2131651,32868349,35000000,5.8,2005,Bad News Bears,
Thumbsucker,-2671321,1328679,4000000,6.6,2005,Thumbsucker,
Mirrormask,-3133001,866999,4000000,6.8,2005,Mirrormask,
Feast,-3143869,56131,3200000,6.3,2005,Feast,
Dark Water,-4526648,25473352,30000000,5.6,2005,Dark Water,
Everything Is Illuminated,-5287663,1712337,7000000,7.4,2005,Everything Is Illuminated,
Goal!,-5716745,4283255,10000000,6.7,2005,Goal!,
The Chumscrubber,-6747403,52597,6800000,6.9,2005,The Chumscrubber,
The Ice Harvest,-6983218,9016782,16000000,6.3,2005,The Ice Harvest,
The Interpreter,-7291839,72708161,80000000,6.4,2005,The Interpreter,
Down in the Valley,-7431068,568932,8000000,6.4,2005,Down in the Valley,
House of Wax,-7935200,32064800,40000000,5.3,2005,House of Wax,
A Lot Like Love,-8154281,21845719,30000000,6.6,2005,A Lot Like Love,
Mrs Henderson Presents,-8963634,11036366,20000000,7,2005,Mrs Henderson Presents,
Get Rich or Die Tryin',-9014648,30985352,40000000,5.4,2005,Get Rich or Die Tryin',
Jarhead,-9341780,62658220,72000000,7,2005,Jarhead,
The Weather Man,-9517225,12482775,22000000,6.5,2005,The Weather Man,
Just Like Heaven,-9681870,48318130,58000000,6.7,2005,Just Like Heaven,
Edmond,-9868281,131719,10000000,6.2,2005,Edmond,
Assault on Precinct 13,-9959105,20040895,30000000,6.3,2005,Assault on Precinct 13,
The Three Burials of Melquiades Estrada,-9972316,5027684,15000000,7.4,2005,The Three Burials of Melquiades Estrada,
The Greatest Game Ever Played,-10662607,15337393,26000000,7.4,2005,The Greatest Game Ever Played,
Kiss Kiss Bang Bang,-10756244,4243756,15000000,7.5,2005,Kiss Kiss Bang Bang,
The Adventures of Sharkboy and Lavagirl 3-D,-10822316,39177684,50000000,3.5,2005,The Adventures of Sharkboy and Lavagirl 3-D,
Rent,-10922453,29077547,40000000,6.9,2005,Rent,
Two for the Money,-12008621,22991379,35000000,6.3,2005,Two for the Money,
Proof,-12464669,7535331,20000000,6.7,2005,Proof,
Serenity,-13485483,25514517,39000000,7.8,2005,Serenity,
Lords of Dogtown,-13726483,11273517,25000000,7.1,2005,Lords of Dogtown,
Manderlay,-14121622,78378,14200000,7.3,2005,Manderlay,
Chicken Little,-14613335,135386665,150000000,5.7,2005,Chicken Little,
Alone in the Dark,-14821431,5178569,20000000,2.4,2005,Alone in the Dark,
The Cave,-14992009,15007991,30000000,5.1,2005,The Cave,
Valiant,-15521894,19478106,35000000,5.5,2005,Valiant,
Rebound,-16290986,16809014,33100000,5.2,2005,Rebound,
North Country,-16662278,18337722,35000000,7.3,2005,North Country,
The New World,-17287907,12712093,30000000,6.7,2005,The New World,
Hostage,-17360061,34639939,52000000,6.6,2005,Hostage,
Elizabethtown,-18149574,26850426,45000000,6.4,2005,Elizabethtown,
Elektra,-18590278,24409722,43000000,4.7,2005,Elektra,
Cursed,-18702478,19297522,38000000,5,2005,Cursed,
The World's Fastest Indian,-19871876,5128124,25000000,7.8,2005,The World's Fastest Indian,
Man of the House,-20300294,19699706,40000000,5.4,2005,Man of the House,
Unleashed,-20462379,24537621,45000000,7,2005,Unleashed,
An Unfinished Life,-21413608,8586392,30000000,7,2005,An Unfinished Life,
Bewitched,-21686841,63313159,85000000,4.8,2005,Bewitched,
BloodRayne,-22594580,2405420,25000000,2.9,2005,BloodRayne,
Munich,-22596315,47403685,70000000,7.5,2005,Munich,
The Jacket,-22696238,6303762,29000000,7.1,2005,The Jacket,
Constantine,-24023822,75976178,100000000,7,2005,Constantine,
The Man,-24669280,8330720,33000000,5.6,2005,The Man,
The Producers,-25601468,19398532,45000000,6.3,2005,The Producers,
Lord of War,-25850368,24149632,50000000,7.6,2005,Lord of War,
Cinderella Man,-26350089,61649911,88000000,8,2005,Cinderella Man,
Rumor Has It...,-26999738,43000262,70000000,5.5,2005,Rumor Has It...,
Memoirs of a Geisha,-27509492,57490508,85000000,7.4,2005,Memoirs of a Geisha,
The Legend of Zorro,-28535977,46464023,75000000,6,2005,The Legend of Zorro,
Dominion: Prequel to the Exorcist,-29748505,251495,30000000,5.2,2005,Dominion: Prequel to the Exorcist,
Into the Blue,-31198766,18801234,50000000,5.9,2005,Into the Blue,
Doom,-31787663,28212337,60000000,5.2,2005,Doom,
Zathura: A Space Adventure,-35741131,29258869,65000000,6.2,2005,Zathura: A Space Adventure,
Æon Flux,-36125663,25874337,62000000,5.5,2005,Æon Flux,
Domino,-39830798,10169202,50000000,5.9,2005,Domino,
Stay,-46373117,3626883,50000000,6.8,2005,Stay,
The Brothers Grimm,-50083733,37916267,88000000,5.9,2005,The Brothers Grimm,
Sahara,-61328075,68671925,130000000,6,2005,Sahara,
Son of the Mask,-66981578,17018422,84000000,2.2,2005,Son of the Mask,
A Sound of Thunder,-78099549,1900451,80000000,4.2,2005,A Sound of Thunder,
Kingdom of Heaven,-82601587,47398413,130000000,7.2,2005,Kingdom of Heaven,
xXx: State of the Union,-86126068,26873932,113000000,4.4,2005,xXx: State of the Union,
The Island,-90181087,35818913,126000000,6.8,2005,The Island,
Stealth,-102883254,32116746,135000000,5.1,2005,Stealth,
Pirates of the Caribbean: Dead Man's Chest,198315812,423315812,225000000,7.3,2006,Pirates of the Caribbean: Dead Man's Chest,
300,145614939,210614939,65000000,7.6,2006,300,
Night at the Museum,140863268,250863268,110000000,6.4,2006,Night at the Museum,
Cars,124082982,244082982,120000000,7.1,2006,Cars,
Ice Age: The Meltdown,115330621,195330621,80000000,6.8,2006,Ice Age: The Meltdown,
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,110505958,128505958,18000000,7.3,2006,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,
The Pursuit of Happyness,108566459,163566459,55000000,8,2006,The Pursuit of Happyness,
Happy Feet,98000317,198000317,100000000,6.4,2006,Happy Feet,
The Da Vinci Code,92536138,217536138,125000000,6.6,2006,The Da Vinci Code,
The Devil Wears Prada,89740460,124740460,35000000,6.9,2006,The Devil Wears Prada,
Talladega Nights: The Ballad of Ricky Bobby,75713377,148213377,72500000,6.6,2006,Talladega Nights: The Ballad of Ricky Bobby,
Over the Hedge,75019340,155019340,80000000,6.7,2006,Over the Hedge,
The Santa Clause 3: The Escape Clause,72500122,84500122,12000000,4.7,2006,The Santa Clause 3: The Escape Clause,
Saw III,70238724,80238724,10000000,6.2,2006,Saw III,
The Break-Up,66703275,118703275,52000000,5.8,2006,The Break-Up,
Madea's Family Reunion,57318000,63318000,6000000,5.2,2006,Madea's Family Reunion,
Click,54855633,137355633,82500000,6.4,2006,Click,
Step Up,53328121,65328121,12000000,6.5,2006,Step Up,
Little Miss Sunshine,51891098,59891098,8000000,7.8,2006,Little Miss Sunshine,
Rocky Balboa,46270943,70270943,24000000,7.1,2006,Rocky Balboa,
Scary Movie 4,45710620,90710620,45000000,5.1,2006,Scary Movie 4,
Nacho Libre,45197993,80197993,35000000,5.8,2006,Nacho Libre,
Inside Man,43513495,88513495,45000000,7.6,2006,Inside Man,
The Departed,42384315,132384315,90000000,8.5,2006,The Departed,
Eight Below,41612565,81612565,40000000,7.3,2006,Eight Below,
Failure to Launch,38715192,88715192,50000000,5.6,2006,Failure to Launch,
Dreamgirls,33365956,103365956,70000000,6.5,2006,Dreamgirls,
When a Stranger Calls,32860214,47860214,15000000,5.1,2006,When a Stranger Calls,
Big Momma's House 2,30165972,70165972,40000000,4.7,2006,Big Momma's House 2,
The Omen,29607383,54607383,25000000,5.5,2006,The Omen,
Final Destination 3,29098051,54098051,25000000,5.8,2006,Final Destination 3,
Date Movie,28548426,48548426,20000000,2.8,2006,Date Movie,
The Benchwarmers,26843754,59843754,33000000,5.5,2006,The Benchwarmers,
The Hills Have Eyes,26778863,41778863,15000000,6.4,2006,The Hills Have Eyes,
X-Men: The Last Stand,24362462,234362462,210000000,6.7,2006,X-Men: The Last Stand,
The Texas Chainsaw Massacre: The Beginning,23517763,39517763,16000000,5.8,2006,The Texas Chainsaw Massacre: The Beginning,
The Illusionist,23368642,39868642,16500000,7.6,2006,The Illusionist,
John Tucker Must Die,23011711,41011711,18000000,5.8,2006,John Tucker Must Die,
RV,21726025,71726025,50000000,5.5,2006,RV,
Barnyard,21637803,72637803,51000000,5.5,2006,Barnyard,
"You, Me and Dupree",21628110,75628110,54000000,5.6,2006,"You, Me and Dupree",
Clerks II,19148068,24148068,5000000,7.3,2006,Clerks II,
The Grudge 2,19143839,39143839,20000000,5.1,2006,The Grudge 2,
Smokin' Aces,18787686,35787686,17000000,6.7,2006,Smokin' Aces,
Invincible,17806952,57806952,40000000,7.1,2006,Invincible,
Casino Royale,17445960,167445960,150000000,8,2006,Casino Royale,
Man of the Year,17327390,37327390,20000000,6.2,2006,Man of the Year,
United 93,16483450,31483450,15000000,7.5,2006,United 93,
Employee of the Month,16444855,28444855,12000000,5.5,2006,Employee of the Month,
Stay Alive,16086480,23086480,7000000,5.1,2006,Stay Alive,
Crank,15838408,27838408,12000000,6.9,2006,Crank,
She's the Man,13741133,33741133,20000000,6.3,2006,She's the Man,
Accepted,13323505,36323505,23000000,6.4,2006,Accepted,
The Prestige,13089891,53089891,40000000,8.5,2006,The Prestige,
The Lake House,12330111,52330111,40000000,6.8,2006,The Lake House,
Underworld: Evolution,12318875,62318875,50000000,6.7,2006,Underworld: Evolution,
Larry the Cable Guy: Health Inspector,11680099,15680099,4000000,3.3,2006,Larry the Cable Guy: Health Inspector,
The Shaggy Dog,11123569,61123569,50000000,4.4,2006,The Shaggy Dog,
Akeelah and the Bee,10848430,18848430,8000000,7.3,2006,Akeelah and the Bee,
Stranger Than Fiction,10660952,40660952,30000000,7.5,2006,Stranger Than Fiction,
A Prairie Home Companion,10342852,20342852,10000000,6.7,2006,A Prairie Home Companion,
Facing the Giants,10078331,10178331,100000,6.6,2006,Facing the Giants,
Babel,9302837,34302837,25000000,7.4,2006,Babel,
Gridiron Gang,8432823,38432823,30000000,6.9,2006,Gridiron Gang,
Curious George,8360760,58360760,50000000,6.5,2006,Curious George,
Black Christmas,7273581,16273581,9000000,4.6,2006,Black Christmas,
See No Evil,7032800,15032800,8000000,5.1,2006,See No Evil,
Friends with Money,6868437,13368437,6500000,5.7,2006,Friends with Money,
Aquamarine,6597342,18597342,12000000,5.3,2006,Aquamarine,
Scoop,6525717,10525717,4000000,6.7,2006,Scoop,
World Trade Center,5278893,70278893,65000000,5.9,2006,World Trade Center,
Bella,4770537,8070537,3300000,7.2,2006,Bella,
Take the Lead,4742066,34742066,30000000,6.6,2006,Take the Lead,
The Namesake,4069248,13569248,9500000,7.5,2006,The Namesake,
The Night Listener,3836393,7836393,4000000,5.9,2006,The Night Listener,
The Covenant,3380495,23380495,20000000,5.3,2006,The Covenant,
Bug,3025810,7025810,4000000,6.1,2006,Bug,
The Pink Panther,2226474,82226474,80000000,5.7,2006,The Pink Panther,
Half Nelson,1997938,2697938,700000,7.2,2006,Half Nelson,
Beerfest,1685184,19185184,17500000,6.3,2006,Beerfest,
ATL,1170563,21170563,20000000,6.1,2006,ATL,
Snakes on a Plane,1020814,34020814,33000000,5.4,2006,Snakes on a Plane,
Open Season,105259,85105259,85000000,6.1,2006,Open Season,
Shortbus,-14708,1985292,2000000,6.4,2006,Shortbus,
Pulse,-235564,20264436,20500000,4.8,2006,Pulse,
Wristcutters: A Love Story,-553835,446165,1000000,7.3,2006,Wristcutters: A Love Story,
The Marine,-1155216,18844784,20000000,4.7,2006,The Marine,
Firewall,-1248811,48751189,50000000,5.8,2006,Firewall,
Hatchet,-1324719,175281,1500000,5.7,2006,Hatchet,
Monster House,-1338990,73661010,75000000,6.6,2006,Monster House,
Sherrybaby,-1800824,199176,2000000,6.6,2006,Sherrybaby,
The Astronaut Farmer,-1996357,11003643,13000000,6.3,2006,The Astronaut Farmer,
Charlotte's Web,-2014292,82985708,85000000,6.3,2006,Charlotte's Web,
Bobby,-2757199,11242801,14000000,7,2006,Bobby,
Turistas,-2972238,7027762,10000000,5.4,2006,Turistas,
A Scanner Darkly,-3198384,5501616,8700000,7.1,2006,A Scanner Darkly,
Unknown,-3673597,26403,3700000,6.5,2006,Unknown,
Lucky Number Slevin,-4504534,22495466,27000000,7.7,2006,Lucky Number Slevin,
Rescue Dawn,-4509577,5490423,10000000,7.3,2006,Rescue Dawn,
Running with Scissors,-4977173,7022827,12000000,6.2,2006,Running with Scissors,
Penelope,-4988004,10011996,15000000,6.7,2006,Penelope,
Factory Girl,-5324759,1675241,7000000,6.5,2006,Factory Girl,
Little Man,-5354948,58645052,64000000,4.4,2006,Little Man,
Black Snake Moan,-5603130,9396870,15000000,6.9,2006,Black Snake Moan,
Peaceful Warrior,-6039586,3960414,10000000,7.3,2006,Peaceful Warrior,
For Your Consideration,-6450077,5549923,12000000,6.3,2006,For Your Consideration,
Last Holiday,-6600039,38399961,45000000,6.5,2006,Last Holiday,
Slither,-7197550,7802450,15000000,6.4,2006,Slither,
The Return,-7250149,7749851,15000000,4.7,2006,The Return,
My Super Ex-Girlfriend,-7469705,22530295,30000000,5.1,2006,My Super Ex-Girlfriend,
Running Scared,-8144863,6855137,15000000,7.4,2006,Running Scared,
Unaccompanied Minors,-8344776,16655224,25000000,5.3,2006,Unaccompanied Minors,
The Last Kiss,-8385210,11614790,20000000,6.4,2006,The Last Kiss,
Annapolis,-8872008,17127992,26000000,5.9,2006,Annapolis,
Catch and Release,-9460949,15539051,25000000,6,2006,Catch and Release,
American Dreamz,-9808170,7191830,17000000,5.4,2006,American Dreamz,
Copying Beethoven,-10615971,384029,11000000,6.8,2006,Copying Beethoven,
Just My Luck,-10673350,17326650,28000000,5.4,2006,Just My Luck,
Deja Vu,-10961384,64038616,75000000,7,2006,Deja Vu,
The Painted Veil,-11339513,8060487,19400000,7.5,2006,The Painted Veil,
Ultraviolet,-11464188,18535812,30000000,4.4,2006,Ultraviolet,
Tenacious D in The Pick of Destiny,-11665425,8334575,20000000,6.8,2006,Tenacious D in The Pick of Destiny,
Find Me Guilty,-11826357,1173643,13000000,7,2006,Find Me Guilty,
Infamous,-11848670,1151330,13000000,7,2006,Infamous,
Home of the Brave,-11948292,51708,12000000,5.6,2006,Home of the Brave,
Hollywoodland,-13573749,14426251,28000000,6.5,2006,Hollywoodland,
The Guardian,-14988268,55011732,70000000,6.9,2006,The Guardian,
16 Blocks,-15104859,36895141,52000000,6.6,2006,16 Blocks,
It's a Boy Girl Thing,-15499152,848,15500000,6.3,2006,It's a Boy Girl Thing,
Mission: Impossible III,-15970199,134029801,150000000,6.9,2006,Mission: Impossible III,
The Wicker Man,-16350873,23649127,40000000,3.7,2006,The Wicker Man,
Fur: An Imaginary Portrait of Diane Arbus,-16576798,223202,16800000,6.5,2006,Fur: An Imaginary Portrait of Diane Arbus,
Southland Tales,-16724620,275380,17000000,5.4,2006,Southland Tales,
School for Scoundrels,-17192431,17807569,35000000,5.9,2006,School for Scoundrels,
Seraphim Falls,-17581704,418296,18000000,6.7,2006,Seraphim Falls,
Lonely Hearts,-17811435,188565,18000000,6.4,2006,Lonely Hearts,
The Hoax,-17835005,7164995,25000000,6.7,2006,The Hoax,
DOA: Dead or Alive,-20519187,480813,21000000,4.8,2006,DOA: Dead or Alive,
Little Children,-20536981,5463019,26000000,7.5,2006,Little Children,
We Are Marshall,-21454636,43545364,65000000,7.1,2006,We Are Marshall,
The Holiday,-21775151,63224849,85000000,6.9,2006,The Holiday,
The Ant Bully,-21857465,28142535,50000000,5.8,2006,The Ant Bully,
The Fast and the Furious: Tokyo Drift,-22485585,62514415,85000000,6,2006,The Fast and the Furious: Tokyo Drift,
Zoom,-23010672,11989328,35000000,4.4,2006,Zoom,
The Sentinel,-23719303,36280697,60000000,6.1,2006,The Sentinel,
Marie Antoinette,-24037529,15962471,40000000,6.4,2006,Marie Antoinette,
The Fountain,-24855990,10144010,35000000,7.2,2006,The Fountain,
Eragon,-24969837,75030163,100000000,5.1,2006,Eragon,
Freedomland,-25152114,12512886,37665000,5.1,2006,Freedomland,
Miss Potter,-26994395,3005605,30000000,6.9,2006,Miss Potter,
The Black Dahlia,-27454920,22545080,50000000,5.6,2006,The Black Dahlia,
A Good Year,-27540700,7459300,35000000,7,2006,A Good Year,
Lady in the Water,-27714831,42285169,70000000,5.5,2006,Lady in the Water,
