original_title,year,genre 1 kaggle,genre 2 kaggle,genre 3 kaggle,duration,country,language_1,director,writer,actors,actors_1,actors_f2,description,desc35,avg_vote,Budget - Inflation Adjusted, USA Gross Income - Inflation Adjusted ,USA_Profit, WW Gross Income - Inflation Adjusted ,WorldWide_Profit
The Dark Knight,2008,Action, Crime, Drama,152,"USA, UK",English,Christopher Nolan,"Jonathan Nolan, Christopher Nolan","Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine, Maggie Gyllenhaal, Gary Oldman, Morgan Freeman, Monique Gabriela Curnen, Ron Dean, Cillian Murphy, Chin Han, Nestor Carbonell, Eric Roberts, Ritchie Coster, Anthony Michael Hall",Christian Bale,"Christian Bale, Heath Ledger","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",When the menace known as the Joker,9,"$222,384,430.31 ","$643,393,056.83 ","$458,393,056.83 ","$1,208,635,590.84 ","$986,251,160.53 "
Spider-Man: Far from Home,2019,Action, Adventure, Sci-Fi,129,USA,English,Jon Watts,"Chris McKenna, Erik Sommers","Tom Holland, Samuel L. Jackson, Jake Gyllenhaal, Marisa Tomei, Jon Favreau, Zendaya, Jacob Batalon, Tony Revolori, Angourie Rice, Remy Hii, Martin Starr, J.B. Smoove, Jorge Lendeborg Jr., Cobie Smulders, Numan Acar",Tom Holland,"Tom Holland, Samuel L. Jackson",A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.,A FedEx executive undergoes a,7.5,"$161,973,894.71 ","$395,350,017.61 ","$235,350,017.61 ","$1,145,892,412.77 ","$983,918,518.06 "
Captain Marvel,2019,Action, Adventure, Sci-Fi,123,"USA, Australia",English,"Anna Boden, Ryan Fleck","Anna Boden, Ryan Fleck","Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Jude Law, Annette Bening, Djimon Hounsou, Lee Pace, Lashana Lynch, Gemma Chan, Clark Gregg, Rune Temte, Algenis Perez Soto, Mckenna Grace, Akira Akbar, Matthew Maher",Brie Larson,"Brie Larson, Samuel L. Jackson",Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.,Carol Danvers becomes one of the,6.9,"$161,973,894.71 ","$432,095,571.26 ","$272,095,571.26 ","$1,142,195,453.79 ","$980,221,559.08 "
Alice in Wonderland,2010,Adventure, Family, Fantasy,108,"USA, UK",English,Tim Burton,"Linda Woolverton, Lewis Carroll","Johnny Depp, Mia Wasikowska, Helena Bonham Carter, Anne Hathaway, Crispin Glover, Matt Lucas, Michael Sheen, Stephen Fry, Alan Rickman, Barbara Windsor, Paul Whitehouse, Timothy Spall, Marton Csokas, Tim Pigott-Smith, John Surman",Johnny Depp,"Johnny Depp, Mia Wasikowska","Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.",Nineteen-year-old Alice returns,6.4,"$237,380,305.98 ","$396,651,939.73 ","$196,651,939.73 ","$1,217,128,481.70 ","$979,748,175.72 "
Transformers: Age of Extinction,2014,Action, Adventure, Sci-Fi,165,"USA, China, Hong Kong",English,Michael Bay,Ehren Kruger,"Mark Wahlberg, Stanley Tucci, Kelsey Grammer, Nicola Peltz, Jack Reynor, Titus Welliver, Sophia Myles, Bingbing Li, T.J. Miller, James Bachman, Thomas Lennon, Charles Parnell, Erika Fong, Michael Collins, Geng Han",Mark Wahlberg,"Mark Wahlberg, Stanley Tucci","When humanity allies with a bounty hunter in pursuit of Optimus Prime, the Autobots turn to a mechanic and his family for help.",When humanity allies with a bounty,5.6,"$229,581,939.38 ","$268,325,614.60 ","$58,325,614.60 ","$1,207,004,166.79 ","$977,422,227.41 "
Captain America: Civil War,2016,Action, Adventure, Sci-Fi,147,USA,English,"Anthony Russo, Joe Russo","Christopher Markus, Stephen McFeely","Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan, Anthony Mackie, Don Cheadle, Jeremy Renner, Chadwick Boseman, Paul Bettany, Elizabeth Olsen, Paul Rudd, Emily VanCamp, Tom Holland, Daniel Brühl, Frank Grillo",Chris Evans,"Chris Evans, Robert Downey Jr.",Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,Political involvement in the Avengers',7.8,"$269,586,928.71 ","$440,056,825.21 ","$190,056,825.21 ","$1,243,693,056.07 ","$974,106,127.36 "
Ice Age: Dawn of the Dinosaurs,2009,Animation, Adventure, Comedy,94,USA,English,"Carlos Saldanha, Mike Thurmeier","Michael Berg, Peter Ackerman","Eunice Cho, Karen Disher, Harrison Fahn, Maile Flanagan, Jason Fricchione, Bill Hader, Kelly Keaton, Joey King, Queen Latifah, Denis Leary, Allegra Leguizamo, John Leguizamo, Lucas Leguizamo, Clea Lewis, Jane Lynch",Eunice Cho,"Eunice Cho, Karen Disher","When Sid's attempt to adopt three dinosaur eggs gets him abducted by their real mother to an underground lost world, his friends attempt to rescue him.",When Sid's attempt to adopt three,6.9,"$108,573,299.71 ","$237,140,619.87 ","$147,140,619.87 ","$1,069,672,372.57 ","$961,099,072.86 "
The Hobbit: An Unexpected Journey,2012,Adventure, Fantasy,,169,"New Zealand, USA",English,Peter Jackson,"Fran Walsh, Philippa Boyens","Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott, Graham McTavish, William Kircher, James Nesbitt, Stephen Hunter, Dean O'Gorman, Aidan Turner, John Callen, Peter Hambleton, Jed Brophy, Mark Hadlow, Adam Brown",Ian McKellen,"Ian McKellen, Martin Freeman","A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.","A reluctant Hobbit, Bilbo Baggins,",7.8,"$202,905,912.18 ","$341,562,307.54 ","$161,562,307.54 ","$1,146,422,425.84 ","$943,516,513.66 "
Zootopia,2016,Animation, Adventure, Comedy,108,USA,English,"Byron Howard, Rich Moore","Byron Howard, Rich Moore","Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate, Nate Torrence, Bonnie Hunt, Don Lake, Tommy Chong, J.K. Simmons, Octavia Spencer, Alan Tudyk, Shakira, Raymond S. Persi, Della Saba, Maurice LaMarche",Ginnifer Goodwin,"Ginnifer Goodwin, Jason Bateman","In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.","In a city of anthropomorphic animals,",8,"$161,752,157.23 ","$368,005,835.38 ","$218,005,835.38 ","$1,104,000,609.52 ","$942,248,452.29 "
The Dark Knight Rises,2012,Action, Adventure,,164,"UK, USA",English,Christopher Nolan,"Jonathan Nolan, Christopher Nolan","Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt, Anne Hathaway, Marion Cotillard, Morgan Freeman, Michael Caine, Matthew Modine, Alon Aboutboul, Ben Mendelsohn, Burn Gorman, Daniel Sunjata, Aidan Gillen, Sam Kennard",Christian Bale,"Christian Bale, Gary Oldman","Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",Eight years after the Joker's,8.4,"$281,813,766.91 ","$505,167,070.36 ","$255,167,070.36 ","$1,218,712,868.35 ","$936,899,101.44 "
