original_title,year,genre,duration,country,language_1,director,writer,actors,actors_1,actors_f2,description,desc35,avg_vote,votes,budget,usa_gross_income,USA Profit
Kate & Leopold,2001,"Comedy, Fantasy, Romance",118,USA,English,James Mangold,"Steven Rogers, James Mangold","Meg Ryan, Hugh Jackman, Liev Schreiber, Breckin Meyer, Natasha Lyonne, Bradley Whitford, Paxton Whitehead, Spalding Gray, Josh Stamberg, Matthew Sussman, Charlotte Ayanna, Philip Bosco, Andrew Jack, Stan Tracy, Kristen Schaal",Meg Ryan,"Meg Ryan, Hugh Jackman",An English Duke from 1876 is inadvertedly dragged to modern day New York where he falls for a plucky advertising executive.,An English Duke from 1876 is inadvertedly,6.4,77852,48000000,47121859,-878141
Glitter,2001,"Drama, Music, Romance",104,USA,English,Vondie Curtis-Hall,"Cheryl L. West, Kate Lanier","Mariah Carey, Max Beesley, Da Brat, Tia Texada, Valarie Pettiford, Ann Magnuson, Terrence Howard, Dorian Harewood, Grant Nickalls, Eric Benét, Padma Lakshmi, Don Ackerman, Ed Sahely, Carmen Wong, James Allodi",Mariah Carey,"Mariah Carey, Max Beesley","A young singer dates a disc jockey who helps her get into the music business, but their relationship become complicated as she ascends to super stardom.",A young singer dates a disc jockey,2.2,21298,22000000,4274407,-17725593
Chicken Run,2000,"Animation, Adventure, Comedy",84,"UK, USA, France",English,"Peter Lord, Nick Park","Peter Lord, Nick Park","Phil Daniels, Lynn Ferguson, Mel Gibson, Tony Haygarth, Jane Horrocks, Miranda Richardson, Julia Sawalha, Timothy Spall, Imelda Staunton, Benjamin Whitrow",Phil Daniels,"Phil Daniels, Lynn Ferguson","When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners.",When a cockerel apparently flies,7,173987,45000000,106834564,61834564
Fantastic Four,2005,"Action, Adventure, Fantasy",106,"USA, Germany",English,Tim Story,"Mark Frost, Michael France","Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis, Julian McMahon, Hamish Linklater, Kerry Washington, Laurie Holden, David Parker, Kevin McNulty, Maria Menounos, Michael Kopsa, Andrew Airlie, Pascale Hutton, G. Michael Gray",Ioan Gruffudd,"Ioan Gruffudd, Jessica Alba","A group of astronauts gain superpowers after a cosmic radiation exposure and must use them to oppose the plans of their enemy, Doctor Victor Von Doom.",A group of astronauts gain superpowers,5.7,307944,100000000,154696080,54696080
Frida,2002,"Biography, Drama, Romance",123,"Mexico, USA, Canada",English,Julie Taymor,"Hayden Herrera, Clancy Sigal","Salma Hayek, Mía Maestro, Amelia Zapata, Alejandro Usigli, Diego Luna, Alfred Molina, Lucia Bravo, Valeria Golino, Patricia Reyes Spíndola, Loló Navarro, Roger Rees, Fermín Martínez, Roberto Medina, Ashley Judd, Antonio Banderas",Salma Hayek,"Salma Hayek, Mía Maestro","A biography of artist Frida Kahlo, who channeled the pain of a crippling injury and her tempestuous marriage into her work","A biography of artist Frida Kahlo,",7.4,79690,12000000,25885000,13885000
From Hell,2001,"Horror, Mystery, Thriller",122,"USA, Czech Republic, UK",English,"Albert Hughes, Allen Hughes","Alan Moore, Eddie Campbell","Johnny Depp, Heather Graham, Ian Holm, Robbie Coltrane, Ian Richardson, Jason Flemyng, Katrin Cartlidge, Terence Harvey, Susan Lynch, Paul Rhys, Lesley Sharp, Estelle Skornik, Nicholas McGaughey, Annabelle Apsion, Joanna Page",Johnny Depp,"Johnny Depp, Heather Graham","In Victorian-era London, a troubled clairvoyant police detective investigates the murders of Jack the Ripper.","In Victorian-era London, a troubled",6.8,144714,35000000,31602566,-3397434
The Lord of the Rings: The Fellowship of the Ring,2001,"Action, Adventure, Drama",178,"New Zealand, USA",English,Peter Jackson,"J.R.R. Tolkien, Fran Walsh","Alan Howard, Noel Appleby, Sean Astin, Sala Baker, Sean Bean, Cate Blanchett, Orlando Bloom, Billy Boyd, Marton Csokas, Megan Edwards, Michael Elsworth, Mark Ferguson, Ian Holm, Christopher Lee, Lawrence Makoare",Alan Howard,"Alan Howard, Noel Appleby",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,A meek Hobbit from the Shire and,8.8,1619920,93000000,315544750,222544750
The Million Dollar Hotel,2000,"Drama, Mystery, Thriller",122,"Germany, UK, USA",English,Wim Wenders,"Nicholas Klein, Bono","Jeremy Davies, Milla Jovovich, Mel Gibson, Jimmy Smits, Peter Stormare, Amanda Plummer, Gloria Stuart, Tom Bower, Donal Logue, Bud Cort, Julian Sands, Conrad Roberts, Harris Yulin, Charlayne Woodard, Ellen Cleghorne",Jeremy Davies,"Jeremy Davies, Milla Jovovich","Tragi-comic, romantic whodunnit set in a run down hotel which plays host to mentally ill people too poor to afford medical insurance.","Tragi-comic, romantic whodunnit",5.9,20570,8000000,59989,-7940011
Mission: Impossible II,2000,"Action, Adventure, Thriller",123,"USA, Germany",English,John Woo,"Bruce Geller, Ronald D. Moore","Tom Cruise, Dougray Scott, Thandie Newton, Ving Rhames, Richard Roxburgh, John Polson, Brendan Gleeson, Rade Serbedzija, William Mapother, Dominic Purcell, Mathew Wilkinson, Nicholas Bell, Cristina Brogeras, Kee Chan, Kim Fleming",Tom Cruise,"Tom Cruise, Dougray Scott","IMF agent Ethan Hunt is sent to Sydney to find and destroy a genetically modified disease called ""Chimera"".",IMF agent Ethan Hunt is sent to,6.1,308586,125000000,215409889,90409889
Resident Evil,2002,"Action, Horror, Sci-Fi",100,"UK, Germany, USA",English,Paul W.S. Anderson,Paul W.S. Anderson,"Ryan McCluskey, Oscar Pearce, Indra Ové, Anna Bolt, Joseph May, Robert Tannion, Heike Makatsch, Jaymes Butler, Stephen Billington, Fiona Glascott, Milla Jovovich, Eric Mabius, Colin Salmon, Martin Crewes, Pasquale Aleardi",Ryan McCluskey,"Ryan McCluskey, Oscar Pearce","A special military unit fights a powerful, out-of-control supercomputer and hundreds of scientists who have mutated into flesh-eating creatures after a laboratory accident.",A special military unit fights,6.7,243241,33000000,40119709,7119709
